0,1
order,5401
leaver,5400
access,5282
update,4979
officer,4762
site,4689
work,4554
client,4536
report,4371
administrator,3869
card,3814
location,3716
confluence,3665
action,3425
link,3280
floor,3076
possible,3004
rights,2952
starter,2856
purchase,2839
upgrade,2742
accounts,2714
reports,2686
mobile,2668
message,2528
tester,2436
application,2434
process,2419
cards,2286
approver,2183
annual,2173
tried,2088
owner,2085
monitor,2059
updates,2053
testing,2048
folder,2026
needs,1979
approval,1973
registered,1947
setup,1946
discipline,1945
files,1926
password,1924
software,1907
currently,1888
review,1872
consultant,1865
updated,1854
following,1826
two,1826
connect,1824
content,1823
additional,1822
check,1820
device,1804
logged,1796
server,1786
tickets,1784
changes,1780
call,1779
get,1778
colleagues,1778
section,1769
purchased,1749
th,1742
communication,1727
members,1726
period,1723
screen,1711
give,1704
active,1704
infrastructure,1703
type,1701
part,1697
unable,1688
since,1682
seems,1673
regarding,1673
laptop,1672
changed,1631
assistance,1628
done,1612
requests,1608
able,1590
job,1586
groups,1585
intended,1584
license,1572
want,1569
version,1558
sa,1550
via,1546
complete,1512
urgent,1500
credentials,1500
expense,1494
description,1471
open,1467
think,1460
trying,1450
installation,1444
clients,1434
good,1419
investigate,1418
machine,1412
still,1408
room,1397
person,1391
due,1385
se,1379
permissions,1372
accept,1366
failed,1365
contact,1361
disk,1356
environment,1349
week,1347
install,1345
found,1331
fill,1328
receiving,1328
left,1327
mandatory,1310
center,1307
forward,1300
related,1294
completed,1293
morning,1292
shared,1291
entity,1280
ordered,1280
receipts,1279
video,1271
leader,1263
enter,1261
allocation,1255
contract,1253
codes,1252
reference,1243
questions,1235
specialist,1227
using,1226
priority,1225
starting,1223
share,1223
transfer,1222
try,1210
document,1202
consideration,1201
would,1198
right,1196
informed,1195
cable,1193
comments,1191
entered,1190
keep,1181
queue,1180
summary,1174
looking,1173
way,1172
recipient,1165
holiday,1158
connection,1155
side,1155
cost,1155
storage,1142
computer,1142
address,1135
data,1129
confidential,1129
getting,1128
git,1126
use,1123
tool,1113
fix,1110
free,1105
hours,1101
library,1095
option,1089
problems,1088
separate,1088
links,1083
image,1079
wants,1078
resolved,1077
kingdom,1073
street,1069
installed,1067
expire,1066
kb,1065
tower,1063
close,1063
administration,1054
perform,1053
look,1050
moment,1048
timecard,1048
write,1040
got,1039
